"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Lmao I‚Äôm too broke to pay for a bus ride to school tomorrow Ì†ΩÌ∏ÖÌ†ΩÌ∏Ö",FALSE,0,NA,2018-01-31 00:35:24,FALSE,NA,"958498914897973248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MikaylaCorde",0,FALSE,FALSE,NA,NA
"2","RT @kaye_cal: ""I walked under a bus, I got hit by a train. I keep falling in love which is kinda the same.""",FALSE,0,NA,2018-01-31 00:35:23,FALSE,NA,"958498914226720768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MryGrcQn",107,TRUE,FALSE,NA,NA
"3","RT @ScottPresler: No, she's not bringing an American as her guest.

Democrats give illegal aliens priority seating. Move to the back of the‚Ä¶",FALSE,0,NA,2018-01-31 00:35:21,FALSE,NA,"958498905368473601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KosarAndrea",303,TRUE,FALSE,NA,NA
"4","en serio hay gente en la parada del bus a las 6 de la ma√±ana?

s√≠ tio hay viejas y esas cosasXDDDDDZDDD",FALSE,0,NA,2018-01-31 00:35:21,FALSE,NA,"958498904953237504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xxxenfadacion",0,FALSE,FALSE,NA,NA
"5","ATTI: #ML04Orange Bus 154 on the Orange Line is at the White Park Ice Arena at 1/30/2018 7:35:16 PM",FALSE,0,NA,2018-01-31 00:35:20,FALSE,NA,"958498900834471937",NA,"<a href=""http://tweetymail.com"" rel=""nofollow"">tweetymail</a>","ML04orange",0,FALSE,FALSE,NA,NA
"6","RT @voguemagazine: Watch what happened when @BTS_twt, the global K-pop phenomenon, boarded a party bus with Vogue and took L.A. by storm. h‚Ä¶",FALSE,0,NA,2018-01-31 00:35:19,FALSE,NA,"958498896795316224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lemonadie",804,TRUE,FALSE,NA,NA
"7","RT @aaronklemz: @munsongs Thank you John. Orgs are also gathering signatures on a petition to be submitted as a comment to DNR including @M‚Ä¶",FALSE,0,NA,2018-01-31 00:35:17,FALSE,NA,"958498888595341313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","munsongs",1,TRUE,FALSE,NA,NA
"8","RT @chaeyonce: Not YG being left at the bus stop like that fddd https://t.co/pUWuEIe1ml",FALSE,0,NA,2018-01-31 00:35:16,FALSE,NA,"958498883398721536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seuIgisgod",1,TRUE,FALSE,NA,NA
"9","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:35:16,FALSE,NA,"958498882857635840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lowwkeybi",18815,TRUE,FALSE,NA,NA
"10","I hate having to travel 3 hours for a 30 minute appointment then waiting around for several hours to catch a 3 hour bus ride back to base.",FALSE,0,NA,2018-01-31 00:35:15,FALSE,NA,"958498881142013952",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","DarkRazorZ",0,FALSE,FALSE,NA,NA
"11","RT @voguemagazine: Watch what happened when @BTS_twt, the global K-pop phenomenon, boarded a party bus with Vogue and took L.A. by storm. h‚Ä¶",FALSE,0,NA,2018-01-31 00:35:15,FALSE,NA,"958498880827490304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BangtanSeaDayak",804,TRUE,FALSE,NA,NA
"12","RT @kimmaicutler: A train station started at 6 p.m. and completed by 3:30 a.m. in Southwestern China. 

A Bus Rapid Transit line down Van N‚Ä¶",FALSE,0,NA,2018-01-31 00:35:15,FALSE,NA,"958498879271444480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DarfNader",1406,TRUE,FALSE,NA,NA
"13","@MaxRobitzsch @hslates The Remuera specialists are not particularly easily accessible by bus or even train for most people.",FALSE,0,"MaxRobitzsch",2018-01-31 00:35:14,FALSE,"958493249315815424","958498876582912000","1855818506","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","aucklandzwitsch",0,FALSE,FALSE,NA,NA
"14","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:35:14,FALSE,NA,"958498875450494977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RashaadDaniel",18815,TRUE,FALSE,NA,NA
"15","RT @SweetberryTae_: Recuerdan cuando Jungkook encontr√≥ un bus con su nombre por su cumplea√±os
Estaba muy feliz y apenado...‚ô°‚ô°

#ThankYouJun‚Ä¶",FALSE,0,NA,2018-01-31 00:35:12,FALSE,NA,"958498867884052480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arm_yforever",692,TRUE,FALSE,NA,NA
"16","RT @noahschapps: I was on the bus yesterday and someone threw a water bottle and this senior goes ‚Äúwhoever threw that bottle, ya moms a hoe‚Ä¶",FALSE,0,NA,2018-01-31 00:35:11,FALSE,NA,"958498861093478400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","makeitschnappy",2,TRUE,FALSE,NA,NA
"17","RT @JackAssVine: when u lean ur head against the bus window https://t.co/JvHNjH8k28",FALSE,0,NA,2018-01-31 00:35:10,FALSE,NA,"958498860095111168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ahmedamrfahim",467,TRUE,FALSE,NA,NA
"18","@siddique369ahm1 @DrDanish5 True ..lekin bhai jahil awam hai .. bs ankhain band kr k .. yaqeen kre gi  or dhoqa kha‚Ä¶ https://t.co/oIJD7Wddpo",FALSE,0,"siddique369ahm1",2018-01-31 00:35:06,TRUE,"958437209773957120","958498843234127872","4156549576","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vijeyveer",0,FALSE,FALSE,NA,NA
"19","RT @PasionTricolor1: ""Esta banda va a estar siempre a tu lado"" Ì†ºÌæµÌ†ºÌæ∑ Algunos Bolsos esperaron al bus del DECANO y lo alentaron en la salida de‚Ä¶",FALSE,0,NA,2018-01-31 00:35:06,FALSE,NA,"958498842026172417",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Franco1899LBDT",8,TRUE,FALSE,NA,NA
"20","RT @MarceloHCabrera: Siempre pensando en el bienestar de los cuencanos, y mejorar la calidad del servicio de transporte p√∫blico, hoy recorr‚Ä¶",FALSE,0,NA,2018-01-31 00:35:06,FALSE,NA,"958498841187172352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","michalbruno1825",275,TRUE,FALSE,NA,NA
"21","ATTI: #ML09Purple to Valley View Bus 151 on the Purple Line is on Willey Street approaching the Lair:1/30/2018 7:34:56 PM #ML44vv",FALSE,0,NA,2018-01-31 00:35:01,FALSE,NA,"958498821503414273",NA,"<a href=""http://tweetymail.com"" rel=""nofollow"">tweetymail</a>","ML44vv",0,FALSE,FALSE,NA,NA
"22","#NoticiasGT  @MarielosG_TN23: Matan a hombre de aproximadamente 45 a√±os, dentro de un bus de la ruta San Jos√© Villa‚Ä¶ https://t.co/sPs5S8fzUr",FALSE,0,NA,2018-01-31 00:35:01,TRUE,NA,"958498821352419328",NA,"<a href=""https://noticias.gt"" rel=""nofollow"">Noticias GT 2</a>","NoticiasGT_",0,FALSE,FALSE,NA,NA
"23","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:35:01,FALSE,NA,"958498819209129984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kyanne_smith",18815,TRUE,FALSE,NA,NA
"24","RT @SweetberryTae_: Recuerdan cuando Jungkook encontr√≥ un bus con su nombre por su cumplea√±os
Estaba muy feliz y apenado...‚ô°‚ô°

#ThankYouJun‚Ä¶",FALSE,0,NA,2018-01-31 00:34:57,FALSE,NA,"958498804097077248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aguero_mailu",692,TRUE,FALSE,NA,NA
"25","RT @voguemagazine: Watch what happened when @BTS_twt, the global K-pop phenomenon, boarded a party bus with Vogue and took L.A. by storm. h‚Ä¶",FALSE,0,NA,2018-01-31 00:34:56,FALSE,NA,"958498801093820416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miniyoon_",804,TRUE,FALSE,NA,NA
"26","RT @iIyoongi: i don‚Äôt fucking care if you think yoongi gained weight or not. he used to have to decide between a meal or a bus ride home, i‚Ä¶",FALSE,0,NA,2018-01-31 00:34:56,FALSE,NA,"958498800368340992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wtfshowki",4172,TRUE,FALSE,NA,NA
"27","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:34:56,FALSE,NA,"958498799470727169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oh_thatsRolonda",18815,TRUE,FALSE,NA,NA
"28","@Jav_1882 @leemarston81 @fullback03 Nah no chance we sit back when they'll be sitting back 100% Jose will park the bus and counter",FALSE,0,"Jav_1882",2018-01-31 00:34:55,FALSE,"958476316126404609","958498795037261825","98408119","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KingKane10p",0,FALSE,FALSE,NA,NA
"29","rock of love bus naked pictures asian fucked https://t.co/XddqNnnapz",FALSE,0,NA,2018-01-31 00:34:55,FALSE,NA,"958498794148114433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OliverAdams5",0,FALSE,FALSE,NA,NA
"30","Someone on the bus smells like watermelon bubble gum bubble gum or just any generic watermelon candy flavours. #iLikeIt",FALSE,0,NA,2018-01-31 00:34:54,FALSE,NA,"958498791144833024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ItsJoycelyn",0,FALSE,FALSE,NA,NA
"31","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:34:54,FALSE,NA,"958498790075457536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmilyPeot",18815,TRUE,FALSE,NA,NA
"32","RT @voguemagazine: Watch what happened when @BTS_twt, the global K-pop phenomenon, boarded a party bus with Vogue and took L.A. by storm. h‚Ä¶",FALSE,0,NA,2018-01-31 00:34:54,FALSE,NA,"958498790033391621",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ps_ku",804,TRUE,FALSE,NA,NA
"33","3) on the way back, everyone piled into a single bus, but me and a handful others decided to wait. the next bus cam‚Ä¶ https://t.co/pf0ZOyEDf6",FALSE,0,NA,2018-01-31 00:34:52,TRUE,NA,"958498782718685185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GamaRay13",0,FALSE,FALSE,NA,NA
"34","RT @ScottPresler: No, she's not bringing an American as her guest.

Democrats give illegal aliens priority seating. Move to the back of the‚Ä¶",FALSE,0,NA,2018-01-31 00:34:52,FALSE,NA,"958498781036728323",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MichaelsMary",303,TRUE,FALSE,NA,NA
"35","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:34:50,FALSE,NA,"958498773759680512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","morgandurik",18815,TRUE,FALSE,NA,NA
"36","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:34:48,FALSE,NA,"958498766495059968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jakeezer",18815,TRUE,FALSE,NA,NA
"37","ATTI: #MLMallPM Bus 141 on the Mall PM is at the WesMon Plaza stop light: 1/30/2018 7:34:42 PM",FALSE,0,NA,2018-01-31 00:34:47,FALSE,NA,"958498760883044352",NA,"<a href=""http://tweetymail.com"" rel=""nofollow"">tweetymail</a>","MLMallpm",0,FALSE,FALSE,NA,NA
"38","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:34:45,FALSE,NA,"958498755438931968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DanielDadcliffe",18815,TRUE,FALSE,NA,NA
"39","Coincidentally, I‚Äôm also on the bus I used to take to get home from my middle school. The nostalgia is hittin‚Äô right now.",FALSE,0,"AKingNamedSimba",2018-01-31 00:34:45,FALSE,"958498416178245632","958498755254218753","1054020338","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AKingNamedSimba",0,FALSE,FALSE,NA,NA
"40","Que cosa que me molesta ir en el bus y que el que se sienta con vos te roce y empuje, no se no te da el asientito l‚Ä¶ https://t.co/NxlLo56dbU",FALSE,0,NA,2018-01-31 00:34:44,TRUE,NA,"958498748656771072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NataliaChinit1",0,FALSE,FALSE,NA,NA
"41","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:34:42,FALSE,NA,"958498742558011393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","matthewramos__",18815,TRUE,FALSE,NA,NA
"42","RT @SpikeReeds: How is Black Panther the ‚ÄúBlackest movie ever‚Äù. God I wish yall would stfu. It‚Äôs not blacker than ‚ÄúDo the Right Thing‚Äù, ‚ÄúMo‚Ä¶",FALSE,0,NA,2018-01-31 00:34:42,FALSE,NA,"958498739722874880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__kandace__",131,TRUE,FALSE,NA,NA
"43","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:34:41,FALSE,NA,"958498738208759808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","letterstoparis",18815,TRUE,FALSE,NA,NA
"44","Im about to be on this bus in my heart...someone save me. Remind me I have a face tat lol",FALSE,0,"FNR_ZAY",2018-01-31 00:34:40,FALSE,"958498045674643457","958498733007802368","2362833667","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FNR_ZAY",0,FALSE,FALSE,NA,NA
"45","Hoy me sub√≠ al bus, y me sent√© atr√°s porque s√© que en el fondo me amas.",FALSE,0,NA,2018-01-31 00:34:38,FALSE,NA,"958498726078812161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rgavidia07",0,FALSE,FALSE,NA,NA
"46","@HeyGlane @alisonwong_ @WillSinge @KeysOpenDoorss Don‚Äôt forget the Changes Tour photos / Videos / bus photos / FAMI‚Ä¶ https://t.co/dStoOD7zLA",FALSE,1,"HeyGlane",2018-01-31 00:34:38,TRUE,"958497253739540480","958498725676175360","147815485","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","trinhers",0,FALSE,FALSE,NA,NA
"47","Not YG being left at the bus stop like that fddd https://t.co/pUWuEIe1ml",FALSE,0,NA,2018-01-31 00:34:37,FALSE,NA,"958498718097035264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chaeyonce",1,FALSE,FALSE,NA,NA
"48","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:34:36,FALSE,NA,"958498716176015361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mixmesome",18815,TRUE,FALSE,NA,NA
"49","If you got the 57 bus on Monday and had pretty pink hair pls lemme know bc I deadass fell in love w the person that smiled at me xx",FALSE,1,NA,2018-01-31 00:34:36,FALSE,NA,"958498716100517888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bigierosix",0,FALSE,FALSE,NA,NA
"50","""she made me a gumbo when she was half blind"" y'all my brother really threw granny under the bus",FALSE,0,NA,2018-01-31 00:34:35,FALSE,NA,"958498713084874752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaemorgan007",0,FALSE,FALSE,NA,NA
"51","RT @elespectador: ¬°Vuelve y juega! Bus de Transmilenio se incendi√≥ en la calle 100 con Autopista Norte. https://t.co/gAU7Cvi9dT https://t.c‚Ä¶",FALSE,0,NA,2018-01-31 00:34:34,FALSE,NA,"958498706579509249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juanrockcarlos",288,TRUE,FALSE,NA,NA
"52","RT @AlirioUribeMuoz: Otro bus de transmilenio se incendi√≥ hoy en la calle 100 y @EnriquePenalosa contin√∫a con la intenci√≥n de llevar buses‚Ä¶",FALSE,0,NA,2018-01-31 00:34:33,FALSE,NA,"958498704205471744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lumibega22",144,TRUE,FALSE,NA,NA
"53","RT @rancheroni: dad: here it is! our spooky ride around town
me: what
dad: this is what you said you wanted
me: no dad I said the ghost bus‚Ä¶",FALSE,0,NA,2018-01-31 00:34:33,FALSE,NA,"958498702758260737",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prufrockluvsong",14,TRUE,FALSE,NA,NA
"54","If I had a dollar for every minute that I waited for the bus, I‚Äôd be rich Ì†ΩÌ∏ÅÌ†ΩÌ∏Ü",FALSE,0,NA,2018-01-31 00:34:25,FALSE,NA,"958498670554566656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeiaVivian",0,FALSE,FALSE,NA,NA
"55","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:34:25,FALSE,NA,"958498668461555717",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mhlammers",18815,TRUE,FALSE,NA,NA
"56","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:34:25,FALSE,NA,"958498668230803456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tharani_c",18815,TRUE,FALSE,NA,NA
